# Simulated random data file for patch processing
# timestamp: 2018-11-01 14:29:05

"varX","varY"
NA,NA
0.327415082138032,0.726226578466594
0.389478693250567,0.200776214245707
0.0410527545027435,0.840200746431947
0.361396634485573,0.396662347251549
0.570978083880618,0.392702259356156
0.684880241984501,0.472556886961684
NA,NA
0.701958807418123,0.352387168910354
NA,NA
0.535532128764316,0.995087934657931
0.836571462685242,0.957558459136635
0.806866742437705,0.551651176298037
0.0809326432645321,0.101953957462683
0.238909301813692,0.237915148027241
0.96598986396566,0.860097664874047
0.0376723264344037,0.738261286402121
